series_id,window_idx,window_start,window_end,timestamp_start,timestamp_end,attention_fingerprint,n_row_labels,n_token_labels,target_query_label,top_source_label,top_source_attention,time_attn_shape,group_attn_shape
load_26,0,0,24,2013-01-02 00:00:00,2013-01-02 23:00:00,0d1142d306defe02,71,14,target,target,0.027768421918153763,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,1,24,48,2013-01-03 00:00:00,2013-01-03 23:00:00,b850eb5000d14ed0,71,14,target,target,0.027663471177220345,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,2,48,72,2013-01-04 00:00:00,2013-01-04 23:00:00,60e9e47fef9f863b,71,14,target,target,0.02626151405274868,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,3,72,96,2013-01-07 00:00:00,2013-01-07 23:00:00,c0329482a35112ad,71,14,target,target,0.028450272977352142,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,4,96,120,2013-01-08 00:00:00,2013-01-08 23:00:00,a6975b471a15d4e7,71,14,target,target,0.02778363972902298,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,5,120,144,2013-01-09 00:00:00,2013-01-09 23:00:00,de7d94f5c4013402,71,14,target,target,0.02802932821214199,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,6,144,168,2013-01-10 00:00:00,2013-01-10 23:00:00,ea8c4497b420d092,71,14,target,target,0.025639647617936134,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,7,168,192,2013-01-11 00:00:00,2013-01-11 23:00:00,454353afc09ca6fb,71,14,target,target,0.02686285227537155,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,8,192,216,2013-01-14 00:00:00,2013-01-14 23:00:00,d631aa32e540b716,71,14,target,target,0.02686472423374653,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,9,216,240,2013-01-15 00:00:00,2013-01-15 23:00:00,d813b552fc973e28,71,14,target,target,0.027255691587924957,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,10,240,264,2013-01-16 00:00:00,2013-01-16 23:00:00,7db80f0e8722fd5c,71,14,target,target,0.02625373564660549,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,11,264,288,2013-01-17 00:00:00,2013-01-17 23:00:00,db9eec5381a1fbdb,71,14,target,target,0.026485148817300797,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,12,288,312,2013-01-18 00:00:00,2013-01-18 23:00:00,c2f71586a6161e59,71,14,target,target,0.025336138904094696,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
