time,load,temp,rhum,dew_point,apparent_temp,precip,rain,snow,press,cloud,solar_rad,direct_rad,diffuse_rad,wind_sp,wind_dir,wrn_1_1,wrn_C_한파,wrn_D_건조,wrn_F_안개,wrn_H_폭염,wrn_O_해일,wrn_R_호우,wrn_S_대설,wrn_T_태풍,wrn_V_풍랑,wrn_W_강풍,wrn_Y_황사,정치,경제,사회,문화,국제,지역,스포츠,IT_과학,범죄,사고,재해,사회_사건사고
2012-01-02 00:00:00,640.5,-5.0740004,66.09973,-10.424,-9.024538,0.0,0.0,0.0,1014.7295,5.0,0.0,0.0,0.0,4.5536795,288.43503,0,0,0,0,0,0,0,1,0,0,0,0,2041,5425,1184,2284,1113,1818,458,1592,0,185,0,0
2012-01-02 01:00:00,650.1,-4.924,65.61357,-10.374,-8.855997,0.0,0.0,0.0,1015.13153,11.0,0.0,0.0,0.0,4.452954,284.03625,0,0,0,0,0,0,0,1,0,0,0,0,2041,5425,1184,2284,1113,1818,458,1592,0,185,0,0
2012-01-02 02:00:00,637.8,-4.8240004,64.60646,-10.474,-8.649612,0.0,0.0,0.0,1015.23456,13.0,0.0,0.0,0.0,3.671294,281.3099,0,0,0,0,0,0,0,1,0,0,0,0,2041,5425,1184,2284,1113,1818,458,1592,0,185,0,0
2012-01-02 03:00:00,637.8,-4.724,64.12081,-10.474,-8.4341955,0.0,0.0,0.0,1015.53534,7.0,0.0,0.0,0.0,2.8799999,270.0,0,0,0,0,0,0,0,1,0,0,0,0,2041,5425,1184,2284,1113,1818,458,1592,0,185,0,0
2012-01-02 04:00:00,638.4,-5.524,67.853386,-10.524,-9.353552,0.0,0.0,0.0,1015.7001,1.0,0.0,0.0,0.0,3.671294,258.6901,0,0,0,0,0,0,0,1,0,0,0,0,2041,5425,1184,2284,1113,1818,458,1592,0,185,0,0
2012-01-02 05:00:00,630.0,-5.8240004,69.970764,-10.424,-9.725116,0.0,0.0,0.0,1015.3909,1.0,0.0,0.0,0.0,4.2136917,250.0168,0,0,0,0,0,0,0,1,0,0,0,0,2041,5425,1184,2284,1113,1818,458,1592,0,185,0,0
2012-01-02 06:00:00,619.5,-6.0740004,71.599335,-10.374,-9.991215,0.0,0.0,0.0,1015.87494,2.0,0.0,0.0,0.0,4.3498964,245.55606,0,0,0,0,0,0,0,0,0,0,0,0,2041,5425,1184,2284,1113,1818,458,1592,0,185,0,0
2012-01-02 07:00:00,660.0,-6.274,72.413895,-10.424,-9.9393015,0.0,0.0,0.0,1016.0646,2.0,0.0,0.0,0.0,2.5959969,236.3099,0,0,0,0,0,0,0,0,0,0,0,0,2041,5425,1184,2284,1113,1818,458,1592,0,185,0,0
2012-01-02 08:00:00,796.5,-6.3739996,72.39394,-10.524,-10.078378,0.0,0.0,0.0,1016.65375,2.0,1.0,0.0,1.0,2.8116899,230.19447,0,0,0,0,0,0,0,0,0,0,0,0,2041,5425,1184,2284,1113,1818,458,1592,0,185,0,0
2012-01-02 09:00:00,1087.8,-6.024,67.4721,-11.073999,-9.792037,0.0,0.0,0.0,1016.86615,0.0,81.0,46.0,35.0,2.968636,194.03627,0,0,0,0,0,0,0,0,0,0,0,0,2041,5425,1184,2284,1113,1818,458,1592,0,185,0,0
2012-01-02 10:00:00,1344.9,-4.474,58.11321,-11.474,-8.402977,0.0,0.0,0.0,1016.83154,88.0,241.0,172.0,69.0,3.8773184,201.80147,0,0,0,0,0,0,0,0,0,0,0,0,2041,5425,1184,2284,1113,1818,458,1592,0,185,0,0
2012-01-02 11:00:00,1384.2,-3.174,57.543205,-10.374,-7.2437735,0.0,0.0,0.0,1016.48944,96.0,348.0,218.0,130.0,5.3999996,233.13002,0,0,0,0,0,0,0,0,0,0,0,0,2041,5425,1184,2284,1113,1818,458,1592,0,185,0,0
2012-01-02 12:00:00,1467.9,-1.7739999,50.86148,-10.624,-6.061405,0.0,0.0,0.0,1016.1505,96.0,433.0,271.0,162.0,6.763786,244.7989,0,0,0,0,0,0,0,0,0,0,0,0,2041,5425,1184,2284,1113,1818,458,1592,0,185,0,0
2012-01-02 13:00:00,1480.5,-1.0740001,47.17771,-10.924,-5.1986346,0.0,0.0,0.0,1014.89294,97.0,438.0,256.0,182.0,5.495161,238.39255,0,0,0,0,0,0,0,0,0,0,0,0,2041,5425,1184,2284,1113,1818,458,1592,0,185,0,0
2012-01-02 14:00:00,1493.1,-0.674,44.916557,-11.174,-4.8168383,0.0,0.0,0.0,1014.0185,91.0,396.0,206.0,190.0,5.495161,238.39255,0,0,0,0,0,0,0,0,0,0,0,0,2041,5425,1184,2284,1113,1818,458,1592,0,185,0,0
2012-01-02 15:00:00,1457.1,-0.674,43.854282,-11.474,-5.0007195,0.0,0.0,0.0,1013.62274,81.0,343.0,196.0,147.0,6.6087217,240.64233,0,0,0,0,0,0,0,0,0,0,0,0,2041,5425,1184,2284,1113,1818,458,1592,0,185,0,0
2012-01-02 16:00:00,1481.7,-1.674,49.30025,-10.924,-6.104832,0.0,0.0,0.0,1013.5826,86.0,219.0,109.0,110.0,7.5942082,238.57048,0,1,0,0,0,0,0,0,0,0,0,0,2041,5425,1184,2284,1113,1818,458,1592,0,185,0,0
